🛠️  Tools Site running at http://0.0.0.0:3456
📊 Admin Panel at http://0.0.0.0:3456/admin
 * Serving Flask app 'app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:3456
 * Running on http://10.209.22.121:3456
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [10/May/2026 20:05:03] "GET /api/stats/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 20:05:07] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 20:05:07] "GET /admin HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 20:05:07] "GET /tools/json.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 20:10:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 20:10:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 20:46:42] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 20:46:42] "GET /tools/json.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 20:46:42] "GET /admin HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:42:47] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:42:47] "GET /tools/json.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:18] "GET /css/design-system.css HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:18] "[33mGET /css/home.css HTTP/1.1[0m" 404 -
127.0.0.1 - - [10/May/2026 21:43:18] "GET /js/common.js HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:18] "GET /js/home.js HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:19] "POST /api/log/page HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:20] "GET /tools/json.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:20] "GET /css/design-system.css HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:20] "GET /js/common.js HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:20] "GET /admin HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:20] "GET /css/design-system.css HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:20] "GET /js/common.js HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:22] "[33mGET /api/stats/summary HTTP/1.1[0m" 404 -
127.0.0.1 - - [10/May/2026 21:43:22] "[33mGET /api/stats/daily?days=7 HTTP/1.1[0m" 404 -
127.0.0.1 - - [10/May/2026 21:43:22] "GET /api/stats/tools HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:22] "[33mGET /api/stats/recent?limit=50 HTTP/1.1[0m" 404 -
127.0.0.1 - - [10/May/2026 21:43:22] "GET /api/stats/pages HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 21:43:23] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [10/May/2026 22:06:39] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 22:06:39] "GET /css/design-system.css HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 22:06:39] "[33mGET /css/home.css HTTP/1.1[0m" 404 -
127.0.0.1 - - [10/May/2026 22:06:39] "GET /js/common.js HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 22:06:39] "GET /js/home.js HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 22:06:39] "POST /api/log/page HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 22:06:40] "GET /tools/json.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 22:06:40] "GET /css/design-system.css HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 22:06:40] "GET /js/common.js HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 22:06:40] "GET /tools/wordcount.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 22:06:40] "GET /css/design-system.css HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 22:06:40] "GET /js/common.js HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 22:06:49] "GET /admin HTTP/1.1" 200 -
